Year,Item,Dry Cargo Liner,Dry Cargo Bulk Carrier,Oil Tanker,Passenger-cum-Cargo,Off-shore Supply,Specialised for Off-shore Services,Timber Carrier,Total
1980,No. of Vessels,38.0,,10.0,10.0,,,,58.0
1980,GRT,128.0,,98.0,28.0,,,,254.0
1980,DWT,,,,,,,,
1981,No. of Vessels,39.0,,16.0,10.0,,,,65.0
1981,GRT,119.0,,153.0,28.0,,,,300.0
1981,DWT,,,,,,,,
1982,No. of Vessels,39.0,,18.0,11.0,,,,68.0
1982,GRT,120.0,,188.0,30.0,,,,338.0
1982,DWT,,,,,,,,
1983,No. of Vessels,41.0,,18.0,13.0,,,,72.0
1983,GRT,113.0,,188.0,36.0,,,,337.0
1983,DWT,,,,,,,,
1984,No. of Vessels,41.0,,18.0,13.0,24.0,,,96.0
1984,GRT,104.0,,188.0,36.0,27.0,,,355.0
1984,DWT,,,,,,,,
1985,No. of Vessels,24.0,,18.0,12.0,41.0,,,95.0
1985,GRT,20.0,,191.0,35.0,50.0,,,296.0
1985,DWT,,,,,,,,
1986,No. of Vessels,27.0,,18.0,13.0,58.0,,,116.0
1986,GRT,78.0,,191.0,44.0,69.0,,,382.0
1986,DWT,,,,,,,,
1987,No. of Vessels,31.0,,18.0,13.0,65.0,,,127.0
1987,GRT,108.0,,191.0,44.0,95.0,,,438.0
1987,DWT,,,,,,,,
1988,No. of Vessels,35.0,,16.0,14.0,73.0,,,138.0
1988,GRT,110.0,,174.0,39.0,120.0,,,443.0
1988,DWT,,,,,,,,
1989,No. of Vessels,35.0,,15.0,14.0,87.0,,,151.0
1989,GRT,110.0,,171.0,39.0,157.0,,,477.0
1989,DWT,,,,,,,,
1990,No. of Vessels,32.0,6.0,15.0,14.0,63.0,31.0,1.0,162.0
1990,GRT,25.0,121.0,171.0,39.0,68.0,95.0,4.0,523.0
1990,DWT,45.0,189.0,268.0,20.0,76.0,71.0,6.0,675.0
1991,No. of Vessels,32.0,10.0,18.0,13.0,63.0,32.0,1.0,169.0
1991,GRT,25.0,127.0,193.0,49.0,68.0,95.0,4.0,561.0
1991,DWT,46.0,198.0,300.0,23.0,76.0,71.0,6.0,720.0
1992,No. of Vessels,38.0,20.0,16.0,12.0,67.0,33.0,1.0,187.0
1992,GRT,29.0,235.0,154.0,59.0,74.0,85.0,4.0,640.0
1992,DWT,52.0,384.0,235.0,26.0,85.0,62.0,6.0,850.0
1993,No. of Vessels,44.0,23.0,16.0,12.0,73.0,33.0,1.0,202.0
1993,GRT,32.0,217.0,154.0,59.0,91.0,85.0,4.0,642.0
1993,DWT,54.0,352.0,235.0,26.0,92.0,62.0,6.0,827.0
1994,No. of Vessels,61.0,13.0,17.0,13.0,74.0,27.0,1.0,206.0
1994,GRT,46.0,247.0,150.0,60.0,91.0,83.0,4.0,681.0
1994,DWT,66.0,410.0,234.0,26.0,92.0,63.0,6.0,897.0
1995,No. of Vessels,72.0,13.0,18.0,15.0,73.0,27.0,1.0,219.0
